arm,step2_target,frozen,fold,dataset,case,side,dice,hd95_mm,assd_mm
binary|frozen|noaux,binary,True,0,fractured,Case12,right,0.0122620118781924,169.97064421963393,108.37254335868997
binary|frozen|noaux,binary,True,0,healthy,VSD_002,left,0.011529890820384,136.57215535597618,99.17922358799756
binary|frozen|noaux,binary,True,0,healthy,VSD_005,right,0.0138447433710098,137.16121208710666,97.60042401174567
binary|frozen|noaux,binary,True,1,fractured,Case11,right,0.0005525207379832,168.7210623336636,117.30150529300178
binary|frozen|noaux,binary,True,1,healthy,VSD_006,left,0.0009119541500695,194.529681218574,126.64085332071755
binary|frozen|noaux,binary,True,2,fractured,Case13,right,0.0008321249042637,175.13388106705605,131.30376196496053
binary|frozen|noaux,binary,True,2,healthy,VSD_006,right,0.0010848304955288,191.58255985613607,140.48374012617185
binary|frozen|noaux,binary,True,3,healthy,VSD_002,right,0.0425311028957366,145.41640591675358,91.7823987295963
binary|frozen|noaux,binary,True,4,healthy,VSD_005,left,0.0227638762444257,140.3149214514232,97.13839130580271
tsdf|frozen|noaux,tsdf_blend,True,0,fractured,Case12,right,0.0172448903322219,151.54204362741373,96.9878366764754
tsdf|frozen|noaux,tsdf_blend,True,0,healthy,VSD_002,left,0.0093571804463863,159.8919024380781,104.8653198979789
tsdf|frozen|noaux,tsdf_blend,True,0,healthy,VSD_005,right,0.0112751778215169,163.44345231585,105.22534803380503
tsdf|frozen|noaux,tsdf_blend,True,1,fractured,Case11,right,0.007527669891715,124.71098523996932,76.7289768164597
tsdf|frozen|noaux,tsdf_blend,True,1,healthy,VSD_006,left,0.0105109773576259,125.8565511384664,74.37625804728208
tsdf|frozen|noaux,tsdf_blend,True,2,fractured,Case13,right,0.0008699111640453,169.11996663545355,122.53921505878336
tsdf|frozen|noaux,tsdf_blend,True,2,healthy,VSD_006,right,0.001158587867394,167.12206393528754,122.47827839540544
tsdf|frozen|noaux,tsdf_blend,True,3,healthy,VSD_002,right,0.008401813916862,155.8339149303821,99.76163741487626
tsdf|frozen|noaux,tsdf_blend,True,4,healthy,VSD_005,left,0.023770887404680252,125.47529866429477,80.88822429751372
